arrivaldate,arrivalstation,crawler,departuredate,departurestation,fullfare,productclass,scandate,trajeto
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,300.14,LT,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,425.14,PL,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,570.14,MX,19-12-2024,ida
2025-02-22T10:25:00,GIG,gol,2025-02-22T09:20:00,GRU,1036.34,LT,19-12-2024,ida
2025-02-22T10:25:00,GIG,gol,2025-02-22T09:20:00,GRU,1161.34,PL,19-12-2024,ida
2025-02-22T10:25:00,GIG,gol,2025-02-22T09:20:00,GRU,1316.34,MX,19-12-2024,ida
2025-02-22T22:20:00,GIG,gol,2025-02-22T21:15:00,GRU,747.34,LT,19-12-2024,ida
2025-02-22T22:20:00,GIG,gol,2025-02-22T21:15:00,GRU,872.34,PL,19-12-2024,ida
2025-02-22T22:20:00,GIG,gol,2025-02-22T21:15:00,GRU,1027.34,MX,19-12-2024,ida
2025-03-02T12:35:00,GRU,gol,2025-03-02T11:25:00,GIG,893.0,LT,19-12-2024,volta
2025-03-02T12:35:00,GRU,gol,2025-03-02T11:25:00,GIG,1018.0,PL,19-12-2024,volta
2025-03-02T12:35:00,GRU,gol,2025-03-02T11:25:00,GIG,1173.0,MX,19-12-2024,volta
2025-03-02T19:40:00,GRU,gol,2025-03-02T18:25:00,GIG,893.0,LT,19-12-2024,volta
2025-03-02T19:40:00,GRU,gol,2025-03-02T18:25:00,GIG,1018.0,PL,19-12-2024,volta
2025-03-02T19:40:00,GRU,gol,2025-03-02T18:25:00,GIG,1173.0,MX,19-12-2024,volta
2025-02-22T10:15:00,CNF,gol,2025-02-22T09:00:00,GRU,925.34,LT,19-12-2024,ida
2025-02-22T10:15:00,CNF,gol,2025-02-22T09:00:00,GRU,1050.34,PL,19-12-2024,ida
2025-02-22T10:15:00,CNF,gol,2025-02-22T09:00:00,GRU,1205.34,MX,19-12-2024,ida
2025-02-22T14:55:00,CNF,gol,2025-02-22T13:40:00,GRU,251.14,LT,19-12-2024,ida
2025-02-22T14:55:00,CNF,gol,2025-02-22T13:40:00,GRU,376.14,PL,19-12-2024,ida
2025-02-22T14:55:00,CNF,gol,2025-02-22T13:40:00,GRU,521.14,MX,19-12-2024,ida
2025-02-22T14:55:00,CNF,gol,2025-02-22T13:40:00,GRU,231.14,PO,19-12-2024,ida
2025-02-22T18:35:00,CNF,gol,2025-02-22T17:15:00,GRU,251.14,LT,19-12-2024,ida
2025-02-22T18:35:00,CNF,gol,2025-02-22T17:15:00,GRU,376.14,PL,19-12-2024,ida
2025-02-22T18:35:00,CNF,gol,2025-02-22T17:15:00,GRU,521.14,MX,19-12-2024,ida
2025-02-22T18:35:00,CNF,gol,2025-02-22T17:15:00,GRU,231.14,PO,19-12-2024,ida
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,490.59,LT,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,615.59,PL,19-12-2024,volta
2025-03-02T07:50:00,GRU,gol,2025-03-02T06:25:00,CNF,765.59,MX,19-12-2024,volta
2025-03-02T20:35:00,GRU,gol,2025-03-02T19:15:00,CNF,396.59,LT,19-12-2024,volta
2025-03-02T20:35:00,GRU,gol,2025-03-02T19:15:00,CNF,521.59,PL,19-12-2024,volta
2025-03-02T20:35:00,GRU,gol,2025-03-02T19:15:00,CNF,671.59,MX,19-12-2024,volta
2025-02-22T11:05:00,SSA,gol,2025-02-22T08:45:00,GRU,778.34,LT,19-12-2024,ida
2025-02-22T11:05:00,SSA,gol,2025-02-22T08:45:00,GRU,903.34,PL,19-12-2024,ida
2025-02-22T11:05:00,SSA,gol,2025-02-22T08:45:00,GRU,1058.34,MX,19-12-2024,ida
2025-02-22T18:05:00,SSA,gol,2025-02-22T15:40:00,GRU,590.34,LT,19-12-2024,ida
2025-02-22T18:05:00,SSA,gol,2025-02-22T15:40:00,GRU,715.34,PL,19-12-2024,ida
2025-02-22T18:05:00,SSA,gol,2025-02-22T15:40:00,GRU,865.34,MX,19-12-2024,ida
2025-02-22T07:50:00,BSB,gol,2025-02-22T06:00:00,GRU,778.34,LT,19-12-2024,ida
2025-02-22T07:50:00,BSB,gol,2025-02-22T06:00:00,GRU,903.34,PL,19-12-2024,ida
2025-02-22T07:50:00,BSB,gol,2025-02-22T06:00:00,GRU,1058.34,MX,19-12-2024,ida
2025-02-22T07:50:00,BSB,gol,2025-02-22T06:00:00,GRU,590.34,LT,19-12-2024,ida
2025-02-22T07:50:00,BSB,gol,2025-02-22T06:00:00,GRU,715.34,PL,19-12-2024,ida
2025-02-22T07:50:00,BSB,gol,2025-02-22T06:00:00,GRU,865.34,MX,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,1059.34,LT,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,1184.34,PL,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,1339.34,MX,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,632.34,LT,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,757.34,PL,19-12-2024,ida
2025-02-22T07:15:00,GIG,gol,2025-02-22T06:10:00,GRU,907.34,MX,19-12-2024,ida
2025-02-22T10:45:00,BSB,gol,2025-02-22T09:00:00,GRU,590.34,LT,19-12-2024,ida
